,en_curid,name,numlangs,birthcity,birthstate,countryName,countryCode,countryCode3,LAT,LON,continentName,birthyear,gender,occupation,industry,domain,TotalPageViews,L_star,StdDevPageViews,PageViewsEnglish,PageViewsNonEnglish,AverageViews,HPI,image_path
2713,66164,Ronaldo,75,Rio de Janeiro,,BRAZIL,BR,BRA,-22.908333,-43.196389,South America,1976,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,38313289,11.19764377,210732.8894,14546961,23766328,510843.8533,22.53370737,ronaldo.png
7319,524577,Ronaldinho,77,Porto Alegre,,BRAZIL,BR,BRA,-30.033056,-51.23,South America,1980,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,38309688,10.68728237,212406.2667,14213401,24096287,497528.4156,21.86520217,ronaldinho.png
10695,15326144,Neymar da Silva,49,Mogi das Cruzes,,BRAZIL,BR,BRA,-23.522778,-46.193056,South America,1992,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,29245139,10.98970546,477557.5812,9657964,19587175,596839.5714,18.11344134,neymar-da-silva.png
8894,1297124,Kaká,71,Brasilia,,BRAZIL,BR,BRA,-16.019444,-48.066944,South America,1982,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,26741890,9.054373838,174290.6482,11185649,15556241,376646.338,20.68816598,kaká.png
1275,24953,Pelé,88,Três Corações,,BRAZIL,BR,BRA,-21.694722,-45.255278000000004,South America,1940,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,24153197,10.42268469,125882.7217,8748518,15404679,274468.1477,27.44657082,pelé.png
3734,146638,Ayrton Senna,64,São Paulo,,BRAZIL,BR,BRA,-23.55,-46.633333,South America,1960,Male,RACECAR DRIVER,INDIVIDUAL SPORTS,SPORTS,18835095,9.530541088,102857.6164,6642249,12192846,294298.3594,24.0985987,ayrton-senna.png
8450,928959,Adriana Lima,47,Salvador,,BRAZIL,BR,BRA,-12.974722,-38.476667,South America,1981,Female,MODEL,MEDIA PERSONALITY,PUBLIC FIGURE,18812150,5.990278279,82749.51127999999,10388392,8423758,400258.5106,19.80805464,adriana-lima.png
8446,926934,Gisele Bündchen,52,Três de Maio,,BRAZIL,BR,BRA,-27.772778000000002,-54.24,South America,1980,Female,MODEL,MEDIA PERSONALITY,PUBLIC FIGURE,16507588,4.939023263999999,89989.74702000001,10065441,6442147,317453.6154,19.39848008,gisele-bündchen.png
2682,65145,Paulo Coelho,69,Rio de Janeiro,,BRAZIL,BR,BRA,-22.908333,-43.196389,South America,1947,Male,WRITER,LANGUAGE,HUMANITIES,14311386,10.69888271,72606.51269,4185642,10125744,207411.3913,26.19269594,paulo-coelho.png
8773,1172821,Robinho,54,São Vicente,,Brazil,BR,BRA,-23.963333,-46.392222,South America,1984,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,11302903,9.381606397,74361.76302,4554307,6748596,209313.0185,19.27163462,robinho.png
