,en_curid,name,numlangs,birthcity,birthstate,countryName,countryCode,countryCode3,LAT,LON,continentName,birthyear,gender,occupation,industry,domain,TotalPageViews,L_star,StdDevPageViews,PageViewsEnglish,PageViewsNonEnglish,AverageViews,HPI
10682,14995351,Michael Jackson,147,Gary,IN,UNITED STATES,US,USA,41.595556,-87.34527800000001,North America,1958,Male,MUSICIAN,MUSIC,ARTS,145250649,8.38490561,3368345.812,67216609,78034040,988099.6531,25.52471712
9696,2731583,Adolf Hitler,169,Braunau am Inn,,AUSTRIA,AT,AUT,48.258333,13.035,Europe,1889,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,128368798,11.13476341,433357.9528,52363146,76005652,759578.6864,30.57781964
11073,23680998,Justin Bieber,94,London,,CANADA,CA,CAN,42.9837,-81.2497,North America,1994,Male,SINGER,MUSIC,ARTS,113558067,6.77110505,1171017.672,59787119,53770948,1208064.543,19.39222745
7346,534366,Barack Obama,200,Honolulu,HI,UNITED STATES,US,USA,21.3,-157.816667,North America,1961,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,112536577,5.514038200000001,1409146.656,72672000,39864577,562682.885,24.88903245
10007,4429395,Eminem,83,Saint Joseph,MO,UNITED STATES,US,USA,39.758055999999996,-94.836667,North America,1972,Male,SINGER,MUSIC,ARTS,108953700,5.623832985,527802.5091,66505927,42447773,1312695.1809999999,23.29884794
9093,17782843,Lady Gaga,133,New York,NY,UNITED STATES,US,USA,40.7127,-74.0059,North America,1986,Female,MUSICIAN,MUSIC,ARTS,104562647,6.899731452999999,1002621.618,56998631,47564016,786185.3158,21.10450737
10407,8135890,Miley Cyrus,72,Nashville,TN,UNITED STATES,US,USA,36.166667,-86.783333,North America,1992,Female,ACTOR,FILM AND THEATRE,ARTS,91947733,6.703493592,372942.097,48648525,43299208,1277051.847,20.18998484
7715,623737,Cristiano Ronaldo,87,Santo António,,PORTUGAL,PT,PRT,32.691389,-16.945278,Europe,1985,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,91677973,11.20180249,642407.5475,35138959,56539014,1053769.805,21.82025014
9439,2110323,Rihanna,85,Saint Michael Parish,,BARBADOS,BB,BRB,13.116667000000001,-59.6,North America,1988,Female,SINGER,MUSIC,ARTS,89939558,6.680081381,473559.3472,48884278,41055280,1058112.447,20.73551789
7,736,Albert Einstein,166,Ulm,,Germany,DE,DEU,48.4,9.983333,Europe,1879,Male,PHYSICIST,NATURAL SCIENCES,SCIENCE & TECHNOLOGY,89771090,11.50120142,342755.955,34276454,55494636,540789.6988,30.21061426
890,18079,Leonardo da Vinci,174,Vinci,,ITALY,IT,ITA,43.783333,10.916667,Europe,1452,Male,INVENTOR,INVENTION,SCIENCE & TECHNOLOGY,88931135,13.211040900000002,352568.6025,29240525,59690610,511098.477,31.46442822
