,en_curid,name,numlangs,birthcity,birthstate,countryName,countryCode,countryCode3,LAT,LON,continentName,birthyear,gender,occupation,industry,domain,TotalPageViews,L_star,StdDevPageViews,PageViewsEnglish,PageViewsNonEnglish,AverageViews,HPI
10682,14995351,Michael Jackson,147,Gary,IN,UNITED STATES,US,USA,41.595556,-87.34527800000001,North America,1958,Male,MUSICIAN,MUSIC,ARTS,145250649,8.38490561,3368345.812,67216609,78034040,988099.6531,25.52471712
7346,534366,Barack Obama,200,Honolulu,HI,UNITED STATES,US,USA,21.3,-157.816667,North America,1961,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,112536577,5.514038200000001,1409146.656,72672000,39864577,562682.885,24.88903245
10007,4429395,Eminem,83,Saint Joseph,MO,UNITED STATES,US,USA,39.758055999999996,-94.836667,North America,1972,Male,SINGER,MUSIC,ARTS,108953700,5.623832985,527802.5091,66505927,42447773,1312695.1809999999,23.29884794
9093,17782843,Lady Gaga,133,New York,NY,UNITED STATES,US,USA,40.7127,-74.0059,North America,1986,Female,MUSICIAN,MUSIC,ARTS,104562647,6.899731452999999,1002621.618,56998631,47564016,786185.3158,21.10450737
10407,8135890,Miley Cyrus,72,Nashville,TN,UNITED STATES,US,USA,36.166667,-86.783333,North America,1992,Female,ACTOR,FILM AND THEATRE,ARTS,91947733,6.703493592,372942.097,48648525,43299208,1277051.847,20.18998484
10286,6844407,Selena Gomez,96,Grand Prairie,TX,United States,US,USA,32.715278000000005,-97.016944,North America,1992,Female,SINGER,MUSIC,ARTS,87742946,6.739624416,577493.6444,45645833,42097113,913989.0208,19.97080402
2865,71870,Johnny Depp,80,Owensboro,KY,UNITED STATES,US,USA,37.757748,-87.11839,North America,1963,Male,ACTOR,FILM AND THEATRE,ARTS,83016743,8.01557424,412044.1787,36362738,46654005,1037709.288,25.11546853
10202,7412236,Steve Jobs,122,San Francisco-Bay Area,CA,UNITED STATES,US,USA,37.783333,-122.41666699999999,North America,1955,Male,DESIGNER,DESIGN,ARTS,78372660,6.253179427,2303998.692,45627865,32744795,642398.8525,24.40623329
7081,5792809,Angelina Jolie,91,Los Angeles,CA,UNITED STATES,US,USA,34.05,-118.25,North America,1975,Female,ACTOR,FILM AND THEATRE,ARTS,68213700,7.66565495,300252.032,34643640,33570060,749601.0989,23.07840216
7162,19394613,Kim Kardashian,44,Los Angeles,CA,UNITED STATES,US,USA,34.05,-118.25,North America,1980,Female,CELEBRITY,MEDIA PERSONALITY,PUBLIC FIGURE,66670205,3.628774929,380555.18700000003,47834822,18835383,1515231.9319999998,19.95003135
0,307,Abraham Lincoln,131,Hodgenville,KY,UNITED STATES,US,USA,37.571111,-85.73861099999999,North America,1809,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,66145211,5.801386687000001,586914.7220000001,41477236,24667975,504925.2748,27.93858549
4344,168540,Lil Wayne,46,New Orleans,LA,United States,US,USA,,,North America,1982,Male,SINGER,MUSIC,ARTS,64484487,2.563680289,191932.8068,52129870,12354617,1401836.674,19.54566371
4232,19318,Marilyn Monroe,143,Los Angeles,CA,United States,US,USA,34.05,-118.25,North America,1926,Female,ACTOR,FILM AND THEATRE,ARTS,63671491,8.509240719,429637.8174,31088742,32582749,445255.1818,28.34664613
10937,2844938,Mark Zuckerberg,85,Lower Hudson Valley,NY,United States,US,USA,41.04,-73.778611,North America,1984,Male,BUSINESSPERSON,BUSINESS,BUSINESS & LAW,62640549,5.167148006000001,953554.1396,39243182,23397367,736947.6353,19.53325962
10429,16477368,Katy Perry,72,Santa Barbara,CA,UNITED STATES,US,USA,34.425833000000004,-119.71416699999999,North America,1984,Female,SINGER,MUSIC,ARTS,61762831,5.34760576,399078.4206,36463275,25299556,857817.0972,20.33669307
3382,31341,Tupac Shakur,69,New York,NY,United States,US,USA,,,North America,1971,Male,SINGER,MUSIC,ARTS,59789956,5.296005803,200147.609,36806550,22983406,866521.1014,22.97037287
9279,1769827,Megan Fox,63,Oak Ridge,TN,UNITED STATES,US,USA,36.013333,-84.2625,North America,1986,Female,ACTOR,FILM AND THEATRE,ARTS,59594557,5.225347332,373241.8057,33823561,25770996,945945.3492,19.89242976
10152,5422144,Taylor Swift,68,Reading,PA,United States,US,USA,40.341667,-75.926389,North America,1989,Female,ACTOR,FILM AND THEATRE,ARTS,58688243,4.900938108,422497.3338,37700341,20987902,863062.3971,19.0465892
179,3382,Britney Spears,94,McComb,MS,UNITED STATES,US,USA,31.244472,-90.471592,North America,1981,Female,SINGER,MUSIC,ARTS,58474806,7.014087593999999,181731.4988,30872137,27602669,622072.4043,22.19322186
4626,5119376,John F. Kennedy,116,Boston,MA,UNITED STATES,US,USA,42.331666999999996,-71.121667,North America,1917,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,57596834,6.577612161,390275.9941,33052400,24544434,496524.43100000004,27.66344149
1634,37313,Bruce Lee,84,San Francisco-Bay Area,CA,UNITED STATES,US,USA,37.794722,-122.40722199999999,North America,1940,Male,ACTOR,FILM AND THEATRE,ARTS,56281877,7.955667301,267732.5169,28409150,27872727,670022.3452,27.81424619
359,9288,Elvis Presley,118,Tupelo,MS,UNITED STATES,US,USA,34.259722,-88.725833,North America,1935,Male,SINGER,MUSIC,ARTS,55896331,8.724884471000001,205967.6053,26072801,29823530,473697.7203,28.617242200000003
3970,154698,Will Smith,74,Philadelphia,PA,United States,US,USA,,,North America,1968,Male,ACTOR,FILM AND THEATRE,ARTS,55709750,5.8016256020000005,246661.6217,30098646,25611104,752834.4595,23.43846468
7037,2629332,Kristen Stewart,58,Los Angeles,CA,UNITED STATES,US,USA,34.05,-118.25,North America,1990,Female,ACTOR,FILM AND THEATRE,ARTS,55438548,6.233086233,382023.0596,29122743,26315805,955837.0345,19.22437349
1928,44849,Brad Pitt,86,Shawnee,OK,United States,US,USA,35.3425,-96.93388900000001,North America,1963,Male,ACTOR,FILM AND THEATRE,ARTS,55005621,7.784187874,227006.832,25372370,29633251,639600.2442,24.88917907
185,3747,Bill Gates,123,Seattle,WA,UNITED STATES,US,USA,47.609722,-122.333056,North America,1955,Male,BUSINESSPERSON,BUSINESS,BUSINESS & LAW,54216010,7.804876131,223586.8329,28776520,25439490,440780.5691,26.34771663
4373,52711,Leonardo DiCaprio,78,Los Angeles,CA,UNITED STATES,US,USA,34.05,-118.25,North America,1974,Male,ACTOR,FILM AND THEATRE,ARTS,53901927,6.901818212999999,359132.3371,27364717,26537210,691050.3462,22.33124629
